model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,12,1000,0.5158730158730158,0.4603174603174603,0.47890671420083186,0.4444444444444444
gigapath,12,1500,0.5158730158730158,0.5158730158730158,0.47890671420083186,0.47890671420083186
gigapath,13,20,0.4603174603174603,0.4444444444444444,0.44979203802733214,0.4497920380273321
gigapath,13,50,0.4603174603174603,0.3412698412698412,0.44979203802733214,0.337037037037037
gigapath,13,100,0.4603174603174603,0.39682539682539675,0.44979203802733214,0.402930402930403
gigapath,13,200,0.4603174603174603,0.4523809523809524,0.44979203802733214,0.44957264957264953
gigapath,13,500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,13,1000,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,13,1500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,14,20,0.5158730158730158,0.34920634920634913,0.483957219251337,0.35714285714285715
gigapath,14,50,0.5158730158730158,0.4523809523809524,0.483957219251337,0.4606643356643357
gigapath,14,100,0.5158730158730158,0.4047619047619048,0.483957219251337,0.4047619047619048
gigapath,14,200,0.5158730158730158,0.35714285714285715,0.483957219251337,0.3412698412698412
gigapath,14,500,0.5158730158730158,0.4603174603174603,0.483957219251337,0.447008547008547
gigapath,14,1000,0.5158730158730158,0.4682539682539682,0.483957219251337,0.41659125188536955
gigapath,14,1500,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,15,20,0.5079365079365079,0.49206349206349204,0.5002970885323826,0.49401709401709404
gigapath,15,50,0.5079365079365079,0.39682539682539675,0.5002970885323826,0.42655122655122657
gigapath,15,100,0.5079365079365079,0.4523809523809524,0.5002970885323826,0.469988344988345
gigapath,15,200,0.5079365079365079,0.5,0.5002970885323826,0.5186147186147186
gigapath,15,500,0.5079365079365079,0.5079365079365079,0.5002970885323826,0.5002970885323826
gigapath,15,1000,0.5079365079365079,0.5079365079365079,0.5002970885323826,0.5002970885323826
gigapath,15,1500,0.5079365079365079,0.5079365079365079,0.5002970885323826,0.5002970885323826
gigapath,16,20,0.5714285714285714,0.36507936507936506,0.5070889894419307,0.34432234432234426
gigapath,16,50,0.5714285714285714,0.30158730158730157,0.5070889894419307,0.30216450216450214
gigapath,16,100,0.5714285714285714,0.35714285714285715,0.5070889894419307,0.35714285714285715
gigapath,16,200,0.5714285714285714,0.35714285714285715,0.5070889894419307,0.3553113553113553
gigapath,16,500,0.5714285714285714,0.5714285714285714,0.5070889894419307,0.5070889894419307
gigapath,16,1000,0.5714285714285714,0.5714285714285714,0.5070889894419307,0.5070889894419307
